corpus,model,kfold,model_num,epoch,discrepancy,train_acc,train_f1,train_p,train_r,train_qwk,vali_acc,vali_f1,vali_p,vali_r,vali_qwk,test_acc,test_f1,test_p,test_r,test_qwk,time_taken
weebit,bert,0,0,0.19808306709265175,0.01473572633038489,0.5272,0.47584675469937665,0.6557192675828999,0.6557192675828999,0.7988158064100914,0.5480769230769231,0.49058248102976154,0.46693760577680876,0.46693760577680876,0.8108108108108107,0.5463258785942492,0.4899838630917735,0.4620243749378115,0.4620243749378115,0.8105369807497467,116.54199266433716
weebit,bert,0,1,0.3961661341853035,0.044883257259752285,0.652,0.6087240594861094,0.7414239182046967,0.7414239182046967,0.8636707265854683,0.6923076923076923,0.6536073167458617,0.7586092795891762,0.7586092795891762,0.8820224719101124,0.6677316293929713,0.6308527630832215,0.7754907444287197,0.7754907444287197,0.8692767086927671,217.08708214759827
weebit,bert,0,2,0.5942492012779552,0.015348233056136862,0.8188,0.820668266304551,0.8383205323340448,0.8383205323340448,0.9433170048985304,0.8012820512820513,0.8053200332484142,0.8162893963675213,0.8162893963675213,0.9368334700574241,0.805111821086262,0.8071258827711703,0.8317657778173404,0.8317657778173404,0.9320543565147882,318.05605363845825
weebit,bert,0,3,0.792332268370607,0.013981081836974663,0.838,0.8369392978743887,0.8376615553906306,0.8376615553906306,0.9447519372043877,0.8525641025641025,0.8509203797113634,0.8512716085084506,0.8512716085084506,0.9479674796747968,0.8274760383386581,0.8269468533482832,0.8271995501143327,0.8271995501143327,0.9428571428571428,418.3323652744293
weebit,bert,0,4,0.9904153354632588,0.014046408049172565,0.862,0.8582714792742437,0.8699753909210168,0.8699753909210168,0.9500189322226429,0.8493589743589743,0.8442250712250712,0.8557698511966805,0.8557698511966805,0.9501151189562548,0.8274760383386581,0.8233030652938279,0.8471014530273199,0.8471014530273199,0.933920704845815,516.7555737495422
weebit,bert,0,5,1.1980830670926517,0.022235495336566213,0.8864,0.8859255055289186,0.8912354056087483,0.8912354056087483,0.9608892548373816,0.8653846153846154,0.8636900101923524,0.8700751018788992,0.8700751018788992,0.9526184538653366,0.8338658146964856,0.8334950996492387,0.8398292163067285,0.8398292163067285,0.9375,618.1003758907318
weebit,bert,0,6,1.3961661341853036,0.017424239977736677,0.9084,0.9085726022895093,0.9115266765148259,0.9115266765148259,0.9687408133268006,0.8910256410256411,0.8911483623117726,0.8931879555564688,0.8931879555564688,0.9638932496075353,0.8753993610223643,0.8765607131258986,0.8865524888257533,0.8865524888257533,0.9583975346687211,719.4236841201782
weebit,bert,0,7,1.5942492012779552,0.028707987512416766,0.9164,0.9161525191385878,0.9193140180107715,0.9193140180107715,0.9709680551509855,0.8878205128205128,0.887444531626171,0.8921205597521387,0.8921205597521387,0.9590100541376644,0.8722044728434505,0.8718994898701541,0.8777743724455178,0.8777743724455178,0.9557251908396946,820.0177752971649
weebit,bert,0,8,1.792332268370607,0.046536252576719894,0.9336,0.9331655356473326,0.9332906312750064,0.9332906312750064,0.9789861567572951,0.8878205128205128,0.8866292830706127,0.8875647314797716,0.8875647314797716,0.9599358974358975,0.8817891373801917,0.8813239205499328,0.8813479224201729,0.8813479224201729,0.9613259668508287,919.1301565170288
weebit,bert,0,9,1.9904153354632588,0.050694642440766935,0.9416,0.941493988827118,0.9424056686905933,0.9424056686905933,0.9817751945621122,0.8910256410256411,0.890799346386351,0.8922165705254245,0.8922165705254245,0.9634920634920635,0.8881789137380192,0.8886672727220379,0.892361813364275,0.892361813364275,0.9611197511664075,1022.9199025630951
